,Name,Species,Type,Climate,Water,Soil,Requires compost/potting mix,Sunlight,Potted/beds,Growth Time (days),Link to article,Link to yt vid,Rooftop,IMAGE,Yt code
1, Green chillies,Capsicum annuum,Spice,Warm,Moist,Flexible,Varies,Full Sun,Pot,60 - 120 ,https://indiagardening.com/how-to-grow/how-to-grow-green-chilli-plant-at-home-in-india/,https://www.youtube.com/watch?v=rPlEA5_JrBs&ab_channel=UrbanGardening,yes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy5nSSu4f23YSYjyt0XDs-pKWAzjOKaQwt2w&usqp=CAU,rPlEA5_JrBs
2,Mint,Mentha arvensis,Kitchen herb,"Warm, Cold",Moist,Well drained,Yes,Partial shade to Full sun,Pot,14 -28 ,https://www.almanac.com/plant/mint,https://www.youtube.com/watch?v=KLtn6Po-404&ab_channel=SelfSufficientMe,yes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1iVBPQtGkz7qWwlhDCw3xTAunp-E9ZLaeYJPLnx5m0Oiw8qChBD3YqYBgOw&usqp=CAc,KLtn6Po-404
3,lemongrass,Cymbopogon citratus,kitchen herb,warm - sunny,moist,loamy,varies,full sun,both,120 - 180 ,https://bonnieplants.com/how-to-grow/growing-lemongrass/,https://youtu.be/sxbATeFMDQU,yes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxddSvbr5bqfRm8iwJrilm4BqTCXHityYHZg&usqp=CAU,sxbATeFMDQU
4,Basil,Ocimum basilicum,kitchen herb,warm - sunny,semi moist,Loamy,no,partial shade - full sun,both,21 - 28 ,https://www.almanac.com/plant/basil,https://www.youtube.com/watch?v=1SG_MYmkDMU,yes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWO8V8oxndyDbArd6XowWOrhFpXY4PXQA6Sg&usqp=CAU,1SG_MYmkDMU
5,spinach,Spinacia oleracea,leafy ,cool,moist,well drained,yes,partial shade - full sun,Both,45 - 60 ,https://www.allthatgrows.in/blogs/posts/grow-spinach-at-home-in-india,https://youtu.be/1RRNu4QS11g,yes,https://cdn.shopify.com/s/files/1/1380/2059/products/Spinach-All-Green_600x600.jpg?v=1598082959,1RRNu4QS11g
6,Pepper,Piper nigrum,spice,warm,moist,well drained,yes,partial shade,beds,60 - 90,https://bonnieplants.com/how-to-grow/growing-peppers/,https://youtu.be/YEKrWFxnLJ8,yes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUY8QAhqY4Q8OqevDm21R_Jc9OhQSVX43UzQ&usqp=CAU,YEKrWFxnLJ8
7,Cucumber,Cucumis sativus,vegetable,warm,semi moist,loamy,varies,full sun,both,55 - 60 ,https://www.almanac.com/plant/cucumbers,https://youtu.be/5hbCJQFBXEU,yes,https://i2.wp.com/www.gardeningchannel.com/wp-content/uploads/2020/04/gardeningchannel-growing-cucumber-in-pot.jpg?fit=720%2C400&ssl=1,5hbCJQFBXEU
8,Mustard,Brassica ,domesticated crops,cool,moist,loamy,no, partial shade - full sun,beds,80 - 90 ,https://www.gardeningknowhow.com/edible/vegetables/greens/growing-mustard-greens.htm,https://www.youtube.com/embed/2KD5tYWYaTg,yes,https://www.gardeningknowhow.com/wp-content/uploads/2011/01/mustard-greens-1-400x300.jpg,2KD5tYWYaTg
9,Vinca Rosea,Apocynaceae,Flowering plant/medicinal,warm - sunny,semi moist,well drained ,varies,partial shade - full sun,pot,14 - 21 ,https://www.burpee.com/gardenadvicecenter/encyclopedia/annual-flowers/learn-about-vincas/encyclopedia__Vinca-article.html,https://www.youtube.com/embed/r0CYc8eIs_M,yes,https://www.burpee.com/on/demandware.static/-/Sites-siteCatalog_Burpee_US/default/dw59ee3638/Category%20Content%20Images/CLP%20Flowers/CATID-3790_Vinca.jpg,r0CYc8eIs_M
10,Groundnut,Arachis hypogaea,domesticated crops,warm - sunny,wet,sandy - loamy,varies,partial shade - full sun,beds,120 - 150,"https://harvesttotable.com/how_to_grow_peanuts/#:~:text=Plant%20peanuts%20in%20full%20sun,soil%20rich%20in%20organic%20matter.&text=The%20soil%20must%20be%20loose,pH%20of%205.8%20to%206.2.",https://www.youtube.com/embed/nLJJLz26ehg,yes,https://www.commodityonline.com/uploads/b2b-commodity/2016/groundnuts-7775959228.jpg,nLJJLz26ehg
11,Ashwagandha,Withania somnifera,Medicinal plant,sunny,semi moist,loamy,no,partial shade -  full sun,both,150 - 180 ,https://balconygardenweb.com/how-to-grow-ashwagandha-cultivation-and-growing-ashwagandha/,https://www.youtube.com/watch?v=RidxDdQTuuM,yes,https://balconygardenweb-lhnfx0beomqvnhspx.netdna-ssl.com/wp-content/uploads/2015/11/how-to-grow-ASHWAGANDHa.jpeg.webp,RidxDdQTuuM
12,Alocasia Plant,Alocasia macrorrhizos,decorative,warm ,moist,loamy,yes,partly shady,pot,20 - 50 ,https://www.thespruce.com/grow-alocasia-indoors-1902735,https://www.youtube.com/embed/Rf0pk6blRpA,yes and indoors,https://www.thespruce.com/thmb/0lpP9dPe233X9K8yiBxvGe4Agk4=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-alocasia-indoors-1902735-03-e84e0164715746a0aee5b1a83aefe4ca.jpg,Rf0pk6blRpA
13,Papaya,Carica papaya,Fruit,warm,wet,well drained,yes,full sun,bed,180 - 360 ,"https://www.edisonfordwinterestates.org/growing-caring-for-papaya-trees/#:~:text=To%20successfully%20grow%20Papayas%2C%20you,in%206%20to%2012%20months.",https://www.youtube.com/watch?v=oKXy8XC4kag,yes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlsZrwbqjpB3zmkhf6lZuY8FDl1XTAF7VqhA&usqp=CAU,oKXy8XC4kag
14,Rose,Rosa rubiginosa,Decorative plant,warm,semi moist, well drained,yes,partial shade -  full sun,pot,180 - 360 ,https://www.thespruce.com/how-to-plant-roses-1403055,https://www.youtube.com/embed/sCQ2dAxsDk4,yes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS657lzJ43uNBAOH6A5HW9LRlnU4Fsl5SbYMQ&usqp=CAU,sCQ2dAxsDk4
15,Turmeric,Curcuma longa,Spice,warm - sunny,moist,well drained,yes,partial shade -  full sun,pot,100 - 150,"https://homesteadandchill.com/how-to-grow-turmeric/#:~:text=Turmeric%20requires%208%20to%2010,the%20ground%20or%20in%20containers.",https://www.youtube.com/embed/ikNVzf6GUWo,yes,https://homesteadandchill.com/wp-content/uploads/2019/09/how-to-grow-turmeric-hands-harvest-feature-e1568474428123-1140x1232.jpeg,ikNVzf6GUWo
16,Marigold,Tagetes erecta,Decorative plant,warm - sunny,dry - semi moist,rich,varies,full sun,pot,55-100,https://gardenerspath.com/plants/flowers/grow-marigolds/,https://www.youtube.com/embed/wtu495XSTWc,yes,https://gardenerspath.com/wp-content/uploads/2018/01/Ode-to-the-Marigold-Revisiting-a-Garden-Staple.jpg,wtu495XSTWc
17,Tomato,S. lycopersicum,creeper,warm or cool,moist,well drained,yes,partial shade - full sun,both,60-70 ,https://www.allthatgrows.in/blogs/posts/how-to-grow-tomatoes-at-home-in-india,https://www.youtube.com/embed/eySTo2GgvoY,Yes,https://edge.bonnieplants.com/www/tiny/uploads/20200810204147/BONNIE_tomatoes_iStock-481349128-1800px-1600x800.jpg,eySTo2GgvoY
18,Brinjal,S. melongena,creeper,warm or cool,moist,sandy loam,yes,full sun,pot,80-90 ,https://www.wikihow.com/Grow-Eggplants-in-Pots,https://youtube.com/embed/14y0GXNdsK8,Yes,https://images-na.ssl-images-amazon.com/images/I/61NgkjvTwBL.jpg,14y0GXNdsK8
19,Cauliflower,Brassica oleracea,shrubs,warm or cool,moist,loam soils,yes,full sun,bed,90-120 ,https://www.wikihow.com/Grow-Cauliflower,https://www.youtube.com/embed/uhFbRyL5Jrc,Yes,https://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/image_nodes/cauliflower.jpg?itok=-SYNFsWf,uhFbRyL5Jrc